scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,avg_mcs,cell_id,cons_retx_max,duUeIndex,max_nof_harq_retxs,mcs_count,mcs_max,mcs_min,stream_id
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,9.26,0,0,0,4,19,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,24.38,0,0,0,4,13,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:37.000000Z,1775059537.0,1.0,8.0,0,0,0,4,23,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:37.000000Z,1775059537.0,1.0,25.06,0,0,0,4,16,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:38.000000Z,1775059538.0,2.0,20.78,0,0,0,4,67,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:38.000000Z,1775059538.0,2.0,27.21,0,0,0,4,131,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:39.000000Z,1775059539.0,3.0,26.19,0,0,0,4,413,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:39.000000Z,1775059539.0,3.0,27.61,0,0,0,4,336,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:40.000000Z,1775059540.0,4.0,27.04,0,0,0,4,970,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:40.000000Z,1775059540.0,4.0,27.76,0,0,0,4,537,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:41.000000Z,1775059541.0,5.0,27.28,0,0,0,4,1522,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:41.000000Z,1775059541.0,5.0,27.75,0,0,0,4,748,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:42.000000Z,1775059542.0,6.0,27.39,0,0,0,4,2082,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:42.000000Z,1775059542.0,6.0,27.8,0,0,0,4,954,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:43.000000Z,1775059543.0,7.0,27.46,0,0,0,4,2626,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:43.000000Z,1775059543.0,7.0,27.84,0,0,0,4,1170,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:44.000000Z,1775059544.0,8.0,27.5,0,0,0,4,3180,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:44.000000Z,1775059544.0,8.0,27.86,0,0,0,4,1381,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:45.000000Z,1775059545.0,9.0,27.53,0,0,0,4,3728,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:45.000000Z,1775059545.0,9.0,27.88,0,0,0,4,1583,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:46.000000Z,1775059546.0,10.0,27.56,0,0,0,4,4279,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:46.000000Z,1775059546.0,10.0,27.9,0,0,0,4,1793,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:48.000000Z,1775059548.0,12.0,27.58,0,0,0,4,5374,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
