scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,pdu_tx_bytes,sdu_new_bytes,sdu_queue_bytes_avg,sdu_queue_bytes_max,du_ue_index
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:12+02:00,1775118432.0,1.0,298,298,99.33333333333333,298,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:12+02:00,1775118432.0,1.0,353,331,8.070175438596491,114,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:13+02:00,1775118433.0,2.0,0,0,0.0,0,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:13+02:00,1775118433.0,2.0,0,0,0.0,0,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:14+02:00,1775118434.0,3.0,461,432,21.313725490196077,111,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:15+02:00,1775118435.0,4.0,79650,144465,11726.842627013631,64031,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:16+02:00,1775118436.0,5.0,204530,654444,292906.91122796165,516312,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:18+02:00,1775118438.0,7.0,135694,654387,774276.2141732284,1035477,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:19+02:00,1775118439.0,8.0,136201,652933,1283253.2766898295,1553188,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:20+02:00,1775118440.0,9.0,223036,654387,1756952.4896471275,1985026,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:21+02:00,1775118441.0,10.0,185510,654387,2210154.427851292,2454755,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:22+02:00,1775118442.0,11.0,179063,652933,2694470.99497992,2931754,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:23+02:00,1775118443.0,12.0,179434,654387,3166926.9561345647,3405845,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:24+02:00,1775118444.0,13.0,177370,654387,3656685.683979975,3884211,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:25+02:00,1775118445.0,14.0,206005,652933,4136963.7776744184,4335038,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:26+02:00,1775118446.0,15.0,88460,654387,4624189.014119308,4897823,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:27+02:00,1775118447.0,16.0,117006,654387,5158487.840963855,5435890,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:28+02:00,1775118448.0,17.0,266277,654387,5686775.6617179215,5825562,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:29+02:00,1775118449.0,18.0,163429,454756,6020686.368653421,6127640,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:30+02:00,1775118450.0,19.0,129655,88694,6094568.233253012,6127648,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:31+02:00,1775118451.0,20.0,388233,408661,6078259.9450226845,6127561,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:32+02:00,1775118452.0,21.0,281142,277714,6075116.93036121,6132010,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:33+02:00,1775118453.0,22.0,146919,138217,6089220.493223819,6126194,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:34+02:00,1775118454.0,23.0,194103,225354,6095076.809366996,6140710,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:35+02:00,1775118455.0,24.0,150213,163760,6105578.890366788,6137268,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:36+02:00,1775118456.0,25.0,166656,159036,6116967.109872611,6142180,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:37+02:00,1775118457.0,26.0,216132,184658,6104207.989827856,6133456,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:38+02:00,1775118458.0,27.0,224286,216733,6098099.540087463,6129062,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:39+02:00,1775118459.0,28.0,201409,216646,6086804.199208918,6126186,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:40+02:00,1775118460.0,29.0,143824,132314,6093611.4543496985,6118916,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:41+02:00,1775118461.0,30.0,98877,113412,6106074.709339408,6129094,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:42+02:00,1775118462.0,31.0,131507,112013,6109315.137404581,6131915,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:43+02:00,1775118463.0,32.0,222186,148308,6084892.2148,6121737,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:44+02:00,1775118464.0,33.0,137839,194836,6078340.590283091,6129062,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:45+02:00,1775118465.0,34.0,150808,162848,6102593.72404614,6134878,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:46+02:00,1775118466.0,35.0,177418,158596,6097217.7212,6140717,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:47+02:00,1775118467.0,36.0,164195,189028,6082610.188400577,6116007,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:48+02:00,1775118468.0,37.0,232882,197752,6088918.732711732,6143578,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:49+02:00,1775118469.0,38.0,147440,180351,6091400.897502153,6131977,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:50+02:00,1775118470.0,39.0,137160,135222,6087624.490748899,6108713,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:51+02:00,1775118471.0,40.0,165744,129406,6071526.981974921,6127615,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:52+02:00,1775118472.0,41.0,234054,295194,6098653.875630252,6130523,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:53+02:00,1775118473.0,42.0,201129,148308,6101821.792568395,6129101,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:54+02:00,1775118474.0,43.0,83779,100381,6105951.182871536,6137793,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:55+02:00,1775118475.0,44.0,143066,117782,6089505.275766017,6113075,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:56+02:00,1775118476.0,45.0,41415,132322,6104066.244007375,6166889,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:57+02:00,1775118477.0,46.0,126760,74154,6137832.08150248,6168288,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:58+02:00,1775118478.0,47.0,230834,210838,6094181.0111332005,6132001,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:59+02:00,1775118479.0,48.0,115658,78571,6086091.1009174315,6117429,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:00+02:00,1775118480.0,49.0,522113,542429,5983107.707265855,6076717,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:01+02:00,1775118481.0,50.0,298667,293708,6069967.613483831,6117429,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:02+02:00,1775118482.0,51.0,208282,230777,6072072.46813329,6104280,0
