scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,rnti,cell_id,mcs_avg,mcs_min,mcs_max,prb_avg,prb_min,prb_max,tbs_avg,tbs_min,tbs_max,l1_cnt
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:11+02:00,1775118431.0,0.0,17921,0,0,0,0,15,3,3,55,11,11,5
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:12+02:00,1775118432.0,1.0,17922,0,0,0,0,15,3,3,55,11,11,5
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:12+02:00,1775118432.0,1.0,17923,0,597,0,28,140,1,24,10793,11,544,23
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:13+02:00,1775118433.0,2.0,17923,0,84,28,28,18,6,6,1632,544,544,3
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:14+02:00,1775118434.0,3.0,17923,0,1120,28,28,2807,6,106,257880,544,9737,40
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:15+02:00,1775118435.0,4.0,17923,0,11780,0,28,40037,6,106,3669315,372,9737,422
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:18+02:00,1775118438.0,7.0,17923,0,22208,0,28,81220,6,104,7356453,372,9474,800
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:19+02:00,1775118439.0,8.0,17923,0,10753,16,28,39520,92,104,3587094,4352,9474,386
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:20+02:00,1775118440.0,9.0,17923,0,11176,11,28,40588,6,104,3671573,544,9474,402
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:21+02:00,1775118441.0,10.0,17923,0,10524,13,28,37961,6,104,3454749,544,9474,377
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:22+02:00,1775118442.0,11.0,17923,0,10784,0,28,39958,92,104,3607452,372,9474,389
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:23+02:00,1775118443.0,12.0,17923,0,10990,17,28,40512,92,104,3679530,4352,9474,394
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:24+02:00,1775118444.0,13.0,17923,0,11433,15,28,42102,92,104,3834708,4097,9474,409
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:25+02:00,1775118445.0,14.0,17923,0,10809,5,28,39848,6,104,3601421,544,9474,389
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:26+02:00,1775118446.0,15.0,17923,0,10494,23,28,38294,92,104,3497960,7172,9474,375
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:27+02:00,1775118447.0,16.0,17923,0,11114,13,28,40768,92,104,3702321,3265,9474,399
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:28+02:00,1775118448.0,17.0,17923,0,10968,0,28,40750,92,104,3678474,372,9474,396
