scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,bytes,cnt,duUeIndex
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,291,12,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:37.000000Z,1775059537.0,1.0,102,4,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:38.000000Z,1775059538.0,2.0,513078,58,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:39.000000Z,1775059539.0,3.0,969646,82,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:40.000000Z,1775059540.0,4.0,909917,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:41.000000Z,1775059541.0,5.0,976269,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:42.000000Z,1775059542.0,6.0,999749,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:43.000000Z,1775059543.0,7.0,986895,81,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:44.000000Z,1775059544.0,8.0,1013046,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:45.000000Z,1775059545.0,9.0,1005764,82,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:46.000000Z,1775059546.0,10.0,990798,81,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:48.000000Z,1775059548.0,12.0,1893213,155,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:49.000000Z,1775059549.0,13.0,949961,84,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:50.000000Z,1775059550.0,14.0,954102,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:51.000000Z,1775059551.0,15.0,1008710,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:52.000000Z,1775059552.0,16.0,974590,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:53.000000Z,1775059553.0,17.0,1024436,84,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:54.000000Z,1775059554.0,18.0,962765,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:55.000000Z,1775059555.0,19.0,914672,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:56.000000Z,1775059556.0,20.0,937467,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:57.000000Z,1775059557.0,21.0,896499,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:58.000000Z,1775059558.0,22.0,1002676,81,0
B1,baseline_indoor_los,baseline,2026-04-01T16:05:59.000000Z,1775059559.0,23.0,1033821,81,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:00.000000Z,1775059560.0,24.0,951055,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:01.000000Z,1775059561.0,25.0,931084,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:02.000000Z,1775059562.0,26.0,1050890,83,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:04.000000Z,1775059564.0,28.0,1877423,157,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:05.000000Z,1775059565.0,29.0,1017371,85,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:06.000000Z,1775059566.0,30.0,970593,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:07.000000Z,1775059567.0,31.0,940161,74,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:08.000000Z,1775059568.0,32.0,1005241,85,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:09.000000Z,1775059569.0,33.0,1007802,82,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:10.000000Z,1775059570.0,34.0,1009019,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:11.000000Z,1775059571.0,35.0,979860,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:12.000000Z,1775059572.0,36.0,916824,76,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:13.000000Z,1775059573.0,37.0,1060997,73,0
