scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,hook_name,max_us,num,p50_us,p90_us,p99_us
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,cucp_uemgr_ue_add,14.337,1,12.288,12.288,12.288
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,e1_cucp_bearer_context_setup,8.245,1,12.288,12.288,12.288
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,ngap_procedure_completed,19.256,1,24.576,24.576,24.576
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,ngap_procedure_started,12.002,2,6.144,12.288,12.288
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,rrc_ue_add,13.796,1,12.288,12.288,12.288
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,rrc_ue_procedure_completed,11.692,2,3.072,12.288,12.288
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,pdcp_dl_tx_data_pdu,5.26,6,1.536,6.144,6.144
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,pdcp_dl_new_sdu,20.017,6,3.072,24.576,24.576
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,pdcp_ul_deliver_sdu,2.565,7,1.536,3.072,3.072
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,pdcp_ul_rx_data_pdu,3.557,7,3.072,3.072,3.072
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,du_ue_ctx_creation,15.349,1,12.288,12.288,12.288
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,rlc_dl_tx_pdu,5.53,17,0.768,6.144,6.144
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,rlc_dl_sdu_delivered,3.627,5,3.072,3.072,3.072
B1,baseline_indoor_los,baseline,2026-04-01T16:05:36.000000Z,1775059536.0,0.0,rlc_dl_sdu_send_completed,3.566,7,1.536,3.072,3.072
