scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,hook_name,max_us,num,p50_us,p90_us,p99_us
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,cucp_uemgr_ue_add,27.238,1,24.576,24.576,24.576
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,ngap_procedure_started,13.41,1,12.288,12.288,12.288
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rrc_ue_add,21.023,1,24.576,24.576,24.576
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rrc_ue_procedure_completed,25.352,1,24.576,24.576,24.576
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,pdcp_dl_tx_data_pdu,2.445,3,3.072,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,pdcp_dl_new_sdu,8.66,3,6.144,12.288,12.288
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,pdcp_ul_deliver_sdu,2.374,3,3.072,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,pdcp_ul_rx_data_pdu,7.054,3,6.144,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,du_ue_ctx_creation,30.52,1,24.576,24.576,24.576
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rlc_dl_tx_pdu,5.168,7,1.536,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rlc_dl_sdu_delivered,4.679,2,1.536,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rlc_dl_sdu_send_completed,3.283,4,1.536,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rlc_dl_sdu_send_started,3.352,3,3.072,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rlc_dl_new_sdu,9.568,4,6.144,12.288,12.288
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rlc_ul_sdu_delivered,12.362,4,3.072,12.288,12.288
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,rlc_ul_rx_pdu,2.445,3,3.072,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,fapi_ul_tti_request,12.851,245,1.536,3.072,12.288
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,fapi_dl_tti_request,8.241,245,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,fapi_rach_indication,7.193,1,6.144,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:05.000000Z,1774468205.0,0.0,cucp_uemgr_ue_add,27.238,1,24.576,24.576,24.576
