scenario_id,label,category,relative_s,harq_mcs_avg,harq_mcs_min,harq_mcs_max,harq_cons_retx,harq_slots_sampled,bsr_bytes,bsr_cnt,crc_sinr_avg,crc_sinr_cnt,crc_tx,crc_cons_fail_max,crc_harq_fail,crc_sinr_max,crc_sinr_min,crc_succ_tx,hook_max_us_fapi_dl,hook_max_us_fapi_ul,hook_max_us_pdcp_ul_deliver,hook_max_us_pdcp_ul_rx,hook_max_us_rlc_dl_tx,hook_max_us_rlc_ul_deliver,hook_max_us_rlc_ul_rx,hook_num_fapi_dl,hook_num_fapi_ul,hook_num_pdcp_ul_deliver,hook_num_pdcp_ul_rx,hook_num_rlc_dl_tx,hook_num_rlc_ul_deliver,hook_num_rlc_ul_rx,hook_p99_us_fapi_dl,hook_p99_us_fapi_ul,hook_p99_us_pdcp_ul_deliver,hook_p99_us_pdcp_ul_rx,hook_p99_us_rlc_dl_tx,hook_p99_us_rlc_ul_deliver,hook_p99_us_rlc_ul_rx,rlc_lat_avg_us,rlc_lat_count,rlc_lat_max_us,rlc_bytes_per_s,rlc_pdu_bytes_per_s,harq_fail_rate,crc_success_rate,bsr_kb,rlc_throughput_kb
0,baseline_clean,baseline,0.0,18.2,0.0,28.0,0.0,16.0,150.0,6.0,33.83,6.0,6.0,0.0,0.0,36.0,29.0,6.0,8.241,12.851,2.374,7.054,5.168,12.362,2.445,245.0,245.0,3.0,3.0,7.0,4.0,3.0,6.144,12.288,3.072,6.144,6.144,12.288,3.072,,,,,,0.0,1.0,0.15,
0,baseline_clean,baseline,1.0,16.53,0.0,28.0,0.0,39.0,243.0,10.0,34.0,10.0,10.0,0.0,0.0,36.0,30.0,10.0,9.428,12.292,5.308,9.15,6.705,8.102,4.33,790.0,790.0,7.0,7.0,14.0,7.0,7.0,6.144,6.144,6.144,12.288,6.144,6.144,6.144,2.375,1.0,2.375,0.0,0.0,0.0,1.0,0.24,0.0
0,baseline_clean,baseline,2.0,22.625,0.0,28.0,0.0,146.0,341078.0,36.0,26.43,74.0,74.0,0.0,0.0,35.0,22.0,74.0,10.616,12.362,9.988,10.895,8.66,12.711,7.613,803.0,803.0,318.0,318.0,33.0,318.0,376.0,6.144,6.144,6.144,6.144,12.288,6.144,6.144,978.001,318.0,13329.431,442773.0,444458.0,0.0,1.0,333.08,432.4
0,baseline_clean,baseline,3.0,25.314999999999998,0.0,28.0,0.0,405.0,1094711.0,74.0,25.45,205.0,205.0,0.0,0.0,35.0,22.0,205.0,7.194,12.432,6.286,18.647,7.124,14.807,26.749,663.0,663.0,889.0,889.0,53.0,889.0,1068.0,6.144,6.144,6.144,6.144,6.144,12.288,6.144,971.056,889.0,23670.513,829335.0,831700.0,0.0,1.0,1069.05,809.9
0,baseline_clean,baseline,4.0,26.18,0.0,28.0,0.0,683.0,1170524.0,80.0,26.02,224.0,224.0,0.0,0.0,35.0,22.0,224.0,9.429,16.622,11.524,18.019,10.615,12.292,13.27,684.0,684.0,901.0,901.0,54.0,901.0,1096.0,6.144,6.144,6.144,6.144,12.288,12.288,6.144,975.282,901.0,18515.791,17172.0,16727.0,0.0,1.0,1143.09,16.77
0,baseline_clean,baseline,5.0,26.59,0.0,28.0,0.0,930.0,1082759.0,74.0,25.12,193.0,193.0,0.0,0.0,35.0,22.0,193.0,21.861,17.74,9.918,10.477,8.242,11.035,15.715,663.0,663.0,894.0,894.0,54.0,894.0,1060.0,6.144,6.144,6.144,6.144,12.288,6.144,6.144,931.779,894.0,18783.637,0.0,0.0,0.0,1.0,1057.38,0.0
0,baseline_clean,baseline,6.0,26.865,0.0,28.0,0.0,1195.0,1040967.0,75.0,25.52,206.0,206.0,0.0,0.0,35.0,22.0,206.0,21.301,9.01,7.054,9.079,24.235,10.057,9.149,687.0,687.0,917.0,917.0,60.0,917.0,1097.0,6.144,6.144,3.072,6.144,24.576,6.144,6.144,932.573,917.0,16699.259,32913.0,31601.0,0.0,1.0,1016.57,32.14
0,baseline_clean,baseline,7.0,27.03,0.0,28.0,0.0,1449.0,1079781.0,74.0,25.24,198.0,198.0,0.0,0.0,35.0,22.0,198.0,6.216,15.854,8.87,10.825,6.635,16.902,12.223,697.0,697.0,892.0,892.0,56.0,892.0,1067.0,6.144,6.144,6.144,6.144,6.144,6.144,6.144,973.902,892.0,20154.015,0.0,0.0,0.0,1.0,1054.47,0.0
0,baseline_clean,baseline,8.0,27.155,0.0,28.0,0.0,1709.0,1012601.0,76.0,25.1,198.0,198.0,0.0,0.0,35.0,22.0,198.0,22.419,11.034,9.358,16.133,6.705,11.314,16.762,744.0,744.0,900.0,900.0,61.0,900.0,1075.0,6.144,6.144,3.072,6.144,6.144,6.144,3.072,941.58,900.0,18458.172,11448.0,11268.0,0.0,1.0,988.87,11.18
0,baseline_clean,baseline,9.0,27.225,0.0,28.0,0.0,1969.0,1069865.0,76.0,25.56,203.0,203.0,0.0,0.0,35.0,22.0,203.0,13.27,8.939,9.149,12.432,20.393,35.34,10.406,692.0,692.0,898.0,898.0,58.0,898.0,1075.0,6.144,6.144,6.144,6.144,24.576,12.288,6.144,929.518,898.0,14487.489,0.0,0.0,0.0,1.0,1044.79,0.0
